id,type,status,title,current_link,slug,url_path,parent_title,page_template,published_date,modified_date,categories,tags,all_wordpress_groupings,primary_structure_group
12,page,publish,about,https://bybookishbabe.com/about/,about,/about/,,Default,"2026-05-16 20:28:18","2026-05-16 20:28:21",,,,"Top-level page"
13,page,publish,"billionaire romance books",https://bybookishbabe.com/billionaire-romance-books/,billionaire-romance-books,/billionaire-romance-books/,,Default,"2026-05-16 20:28:19","2026-05-16 20:28:21",,,,"Top-level page"
14,page,publish,"book reviews",https://bybookishbabe.com/book-reviews/,book-reviews,/book-reviews/,,Default,"2026-05-16 20:28:19","2026-05-16 20:28:22",,,,"Top-level page"
15,page,publish,"books like",https://bybookishbabe.com/books-like/,books-like,/books-like/,,Default,"2026-05-16 20:28:19","2026-05-16 20:28:22",,,,"Top-level page"
16,page,publish,"books like fourth wing",https://bybookishbabe.com/books-like-fourth-wing/,books-like-fourth-wing,/books-like-fourth-wing/,,Default,"2026-05-16 20:28:20","2026-05-16 20:28:22",,,,"Top-level page"
17,page,publish,"books like insatiable",https://bybookishbabe.com/books-like-insatiable/,books-like-insatiable,/books-like-insatiable/,,Default,"2026-05-16 20:28:20","2026-05-16 20:28:22",,,,"Top-level page"
18,page,publish,"books like quicksilver",https://bybookishbabe.com/books-like-quicksilver/,books-like-quicksilver,/books-like-quicksilver/,,Default,"2026-05-16 20:28:20","2026-05-16 20:28:23",,,,"Top-level page"
19,page,publish,"bookshelf weekly preview",https://bybookishbabe.com/bookshelf-weekly-preview/,bookshelf-weekly-preview,/bookshelf-weekly-preview/,,Default,"2026-05-16 20:28:21","2026-05-16 20:28:23",,,,"Top-level page"
20,page,publish,"brother's best friend romance books",https://bybookishbabe.com/brothers-best-friend-romance-books/,brothers-best-friend-romance-books,/brothers-best-friend-romance-books/,,Default,"2026-05-16 20:28:21","2026-05-16 20:28:23",,,,"Top-level page"
21,page,publish,"bully romance books",https://bybookishbabe.com/bully-romance-books/,bully-romance-books,/bully-romance-books/,,Default,"2026-05-16 20:28:21","2026-05-16 20:28:23",,,,"Top-level page"
22,page,publish,"captor x captive romance books",https://bybookishbabe.com/captor-captive-romance-books/,captor-captive-romance-books,/captor-captive-romance-books/,,Default,"2026-05-16 20:28:21","2026-05-16 20:28:23",,,,"Top-level page"
342,page,publish,Checkout,https://bybookishbabe.com/checkout/,checkout,/checkout/,,Default,"2026-05-21 00:24:49","2026-05-21 00:24:49",,,,"Top-level page"
346,page,publish,Confirmation,https://bybookishbabe.com/checkout/confirmation/,confirmation,/checkout/confirmation/,Checkout,Default,"2026-05-21 00:24:51","2026-05-21 00:24:51",,,,"Child page of: Checkout"
23,page,publish,"contemporary romance books",https://bybookishbabe.com/contemporary-romance-books/,contemporary-romance-books,/contemporary-romance-books/,,Default,"2026-05-16 20:28:22","2026-05-16 20:28:24",,,,"Top-level page"
24,page,publish,"Customer Reviews",https://bybookishbabe.com/customer-reviews/,customer-reviews,/customer-reviews/,,Default,"2026-05-16 20:28:22","2026-05-16 20:28:24",,,,"Top-level page"
25,page,publish,"dark academia romance books",https://bybookishbabe.com/dark-academia-romance-books/,dark-academia-romance-books,/dark-academia-romance-books/,,Default,"2026-05-16 20:28:22","2026-05-16 20:28:24",,,,"Top-level page"
26,page,publish,"dark romance books",https://bybookishbabe.com/dark-romance-books/,dark-romance-books,/dark-romance-books/,,Default,"2026-05-16 20:28:22","2026-05-16 20:28:24",,,,"Top-level page"
27,page,publish,"dystopian romance books",https://bybookishbabe.com/dystopian-romance-books/,dystopian-romance-books,/dystopian-romance-books/,,Default,"2026-05-16 20:28:22","2026-05-16 20:28:24",,,,"Top-level page"
28,page,publish,"enemies to lovers books",https://bybookishbabe.com/enemies-to-lovers-books/,enemies-to-lovers-books,/enemies-to-lovers-books/,,Default,"2026-05-16 20:28:23","2026-05-16 20:28:25",,,,"Top-level page"
29,page,publish,"fake dating romance books",https://bybookishbabe.com/fake-dating-romance-books/,fake-dating-romance-books,/fake-dating-romance-books/,,Default,"2026-05-16 20:28:23","2026-05-16 20:28:25",,,,"Top-level page"
30,page,publish,"fated mates romance books",https://bybookishbabe.com/fated-mates-romance-books/,fated-mates-romance-books,/fated-mates-romance-books/,,Default,"2026-05-16 20:28:24","2026-05-16 20:28:25",,,,"Top-level page"
31,page,publish,"Fictional Boyfriend Quiz",https://bybookishbabe.com/fictional-boyfriend-quiz/,fictional-boyfriend-quiz,/fictional-boyfriend-quiz/,,Default,"2026-05-16 20:28:24","2026-05-16 20:28:25",,,,"Top-level page"
32,page,publish,"find your read",https://bybookishbabe.com/find-your-read/,find-your-read,/find-your-read/,,Default,"2026-05-19 22:55:36","2026-05-19 22:55:54",,,,"Top-level page"
33,page,publish,"for readers",https://bybookishbabe.com/for-readers/,for-readers,/for-readers/,,Default,"2026-05-19 22:55:37","2026-05-19 22:55:55",,,,"Top-level page"
34,page,publish,"forbidden love romance books",https://bybookishbabe.com/forbidden-love-romance-books/,forbidden-love-romance-books,/forbidden-love-romance-books/,,Default,"2026-05-19 22:55:37","2026-05-19 22:55:55",,,,"Top-level page"
35,page,publish,"forced proximity romance books",https://bybookishbabe.com/forced-proximity-romance-books/,forced-proximity-romance-books,/forced-proximity-romance-books/,,Default,"2026-05-19 22:55:37","2026-05-19 22:55:55",,,,"Top-level page"
36,page,publish,"found family romance books",https://bybookishbabe.com/found-family-romance-books/,found-family-romance-books,/found-family-romance-books/,,Default,"2026-05-19 22:55:38","2026-05-19 22:55:56",,,,"Top-level page"
37,page,publish,"friends to lovers romance books",https://bybookishbabe.com/friends-to-lovers-romance-books/,friends-to-lovers-romance-books,/friends-to-lovers-romance-books/,,Default,"2026-05-19 22:55:38","2026-05-19 22:55:56",,,,"Top-level page"
38,page,publish,"he falls first romance books",https://bybookishbabe.com/he-falls-first-romance-books/,he-falls-first-romance-books,/he-falls-first-romance-books/,,Default,"2026-05-19 22:55:38","2026-05-19 22:55:56",,,,"Top-level page"
39,page,publish,"kindle inserts",https://bybookishbabe.com/kindle-inserts/,kindle-inserts,/kindle-inserts/,,Default,"2026-05-19 22:55:38","2026-05-19 22:55:56",,,,"Top-level page"
40,page,publish,library,https://bybookishbabe.com/library/,library,/library/,,Default,"2026-05-19 22:55:38","2026-05-19 22:55:56",,,,"Top-level page"
41,page,publish,"made for you",https://bybookishbabe.com/made-for-you/,made-for-you,/made-for-you/,,Default,"2026-05-19 22:55:39","2026-05-19 22:55:57",,,,"Top-level page"
42,page,publish,"mafia romance books",https://bybookishbabe.com/mafia-romance-books/,mafia-romance-books,/mafia-romance-books/,,Default,"2026-05-19 22:55:39","2026-05-19 22:55:57",,,,"Top-level page"
43,page,publish,"marriage of convenience romance books",https://bybookishbabe.com/marriage-of-convenience-romance-books/,marriage-of-convenience-romance-books,/marriage-of-convenience-romance-books/,,Default,"2026-05-19 22:55:39","2026-05-19 22:55:57",,,,"Top-level page"
44,page,publish,"monthly staging",https://bybookishbabe.com/monthly-staging/,monthly-staging,/monthly-staging/,,Default,"2026-05-19 22:55:39","2026-05-19 22:55:58",,,,"Top-level page"
45,page,publish,"my bookshelf",https://bybookishbabe.com/my-bookshelf/,my-bookshelf,/my-bookshelf/,,Default,"2026-05-19 22:55:40","2026-05-19 22:55:58",,,,"Top-level page"
46,page,publish,"my kindle inserts",https://bybookishbabe.com/my-kindle-inserts/,my-kindle-inserts,/my-kindle-inserts/,,Default,"2026-05-19 22:55:40","2026-05-19 22:55:58",,,,"Top-level page"
47,page,publish,"my vault",https://bybookishbabe.com/my-vault/,my-vault,/my-vault/,,Default,"2026-05-19 22:55:40","2026-05-19 22:55:58",,,,"Top-level page"
345,page,publish,"Order History",https://bybookishbabe.com/checkout/order-history/,order-history,/checkout/order-history/,Checkout,Default,"2026-05-21 00:24:51","2026-05-21 00:24:51",,,,"Child page of: Checkout"
48,page,publish,preview,https://bybookishbabe.com/preview/,preview,/preview/,,Default,"2026-05-19 22:55:40","2026-05-19 22:55:58",,,,"Top-level page"
3,page,publish,"Privacy Policy",https://bybookishbabe.com/privacy-policy-2/,privacy-policy-2,/privacy-policy-2/,,default,"2026-05-19 22:55:41","2026-05-19 22:55:59",,,,"Top-level page"
49,page,publish,"privacy policy",https://bybookishbabe.com/privacy-policy/,privacy-policy,/privacy-policy/,,Default,"2026-05-19 22:55:41","2026-05-19 22:55:59",,,,"Top-level page"
347,page,publish,Products,https://bybookishbabe.com/products/,products,/products/,,Default,"2026-05-21 00:24:52","2026-05-21 00:24:52",,,,"Top-level page"
50,page,publish,"Reader Mood Quiz",https://bybookishbabe.com/reader-mood-quiz/,reader-mood-quiz,/reader-mood-quiz/,,Default,"2026-05-19 22:55:41","2026-05-19 22:55:59",,,,"Top-level page"
51,page,publish,"Reader Quizes",https://bybookishbabe.com/reader-quizes/,reader-quizes,/reader-quizes/,,Default,"2026-05-19 22:56:05","2026-05-19 22:56:07",,,,"Top-level page"
343,page,publish,Receipt,https://bybookishbabe.com/checkout/receipt/,receipt,/checkout/receipt/,Checkout,Default,"2026-05-21 00:24:50","2026-05-21 00:24:50",,,,"Child page of: Checkout"
52,page,publish,"romance books by spice level",https://bybookishbabe.com/romance-books-by-spice-level/,romance-books-by-spice-level,/romance-books-by-spice-level/,,Default,"2026-05-19 22:56:05","2026-05-19 22:56:07",,,,"Top-level page"
53,page,publish,"romance series in order",https://bybookishbabe.com/romance-series-in-order/,romance-series-in-order,/romance-series-in-order/,,Default,"2026-05-19 22:56:05","2026-05-19 22:56:08",,,,"Top-level page"
54,page,publish,"romantasy books",https://bybookishbabe.com/romantasy-books/,romantasy-books,/romantasy-books/,,Default,"2026-05-19 22:56:05","2026-05-19 22:56:08",,,,"Top-level page"
2,page,publish,"Sample Page",https://bybookishbabe.com/sample-page/,sample-page,/sample-page/,,default,"2026-05-16 14:10:15","2026-05-19 22:56:08",,,,"Top-level page"
55,page,publish,"second chance romance books",https://bybookishbabe.com/second-chance-romance-books/,second-chance-romance-books,/second-chance-romance-books/,,Default,"2026-05-19 22:56:06","2026-05-19 22:56:08",,,,"Top-level page"
56,page,publish,series,https://bybookishbabe.com/series/,series,/series/,,Default,"2026-05-19 22:56:06","2026-05-19 22:56:09",,,,"Top-level page"
57,page,publish,"series reading orders",https://bybookishbabe.com/series-reading-orders/,series-reading-orders,/series-reading-orders/,,Default,"2026-05-19 22:56:06","2026-05-19 22:56:09",,,,"Top-level page"
58,page,publish,shop,https://bybookishbabe.com/shop/,shop,/shop/,,Default,"2026-05-19 22:56:07","2026-05-19 22:56:09",,,,"Top-level page"
59,page,publish,"single dad romance books",https://bybookishbabe.com/single-dad-romance-books/,single-dad-romance-books,/single-dad-romance-books/,,Default,"2026-05-19 22:56:07","2026-05-19 22:56:10",,,,"Top-level page"
60,page,publish,"slow burn books",https://bybookishbabe.com/slow-burn-books/,slow-burn-books,/slow-burn-books/,,Default,"2026-05-19 22:56:07","2026-05-19 22:56:10",,,,"Top-level page"
61,page,publish,"society submissions",https://bybookishbabe.com/society-submissions/,society-submissions,/society-submissions/,,Default,"2026-05-19 22:56:07","2026-05-19 22:56:10",,,,"Top-level page"
62,page,publish,"sports romance books",https://bybookishbabe.com/sports-romance-books/,sports-romance-books,/sports-romance-books/,,Default,"2026-05-19 22:56:08","2026-05-19 22:56:11",,,,"Top-level page"
63,page,publish,"SSS - Printable Kindle Inserts",https://bybookishbabe.com/sss-printable-kindle-inserts/,sss-printable-kindle-inserts,/sss-printable-kindle-inserts/,,Default,"2026-05-19 22:56:08","2026-05-19 22:56:11",,,,"Top-level page"
64,page,publish,"SSS - Private Shelf",https://bybookishbabe.com/sss-private-shelf/,sss-private-shelf,/sss-private-shelf/,,Default,"2026-05-19 22:56:08","2026-05-19 22:56:11",,,,"Top-level page"
65,page,publish,"SSS - Quote Wall",https://bybookishbabe.com/sss-quote-wall/,sss-quote-wall,/sss-quote-wall/,,Default,"2026-05-19 22:56:09","2026-05-19 22:56:11",,,,"Top-level page"
66,page,publish,"SSS Canva Templates",https://bybookishbabe.com/sss-canva-templates/,sss-canva-templates,/sss-canva-templates/,,Default,"2026-05-19 22:56:09","2026-05-19 22:56:12",,,,"Top-level page"
67,page,publish,"SSS Freebies",https://bybookishbabe.com/sss-freebies/,sss-freebies,/sss-freebies/,,Default,"2026-05-19 22:56:09","2026-05-19 22:56:12",,,,"Top-level page"
68,page,publish,"SSS Library Page",https://bybookishbabe.com/sss-library-page/,sss-library-page,/sss-library-page/,,Default,"2026-05-19 22:56:09","2026-05-19 22:56:12",,,,"Top-level page"
69,page,publish,"SSS Main Page",https://bybookishbabe.com/society-library/,society-library,/society-library/,,Default,"2026-05-19 22:56:10","2026-05-19 22:56:12",,,,"Top-level page"
70,page,publish,"stalker romance books",https://bybookishbabe.com/stalker-romance-books/,stalker-romance-books,/stalker-romance-books/,,Default,"2026-05-19 22:56:23","2026-05-19 22:56:23",,,,"Top-level page"
71,page,publish,"the smut & sentiment society",https://bybookishbabe.com/smut-sentiment-society/,smut-sentiment-society,/smut-sentiment-society/,,Default,"2026-05-19 22:56:23","2026-05-19 22:56:23",,,,"Top-level page"
72,page,publish,"touch her and die books",https://bybookishbabe.com/touch-her-and-die-books/,touch-her-and-die-books,/touch-her-and-die-books/,,Default,"2026-05-19 22:56:24","2026-05-19 22:56:24",,,,"Top-level page"
344,page,publish,"Transaction Failed",https://bybookishbabe.com/checkout/transaction-failed/,transaction-failed,/checkout/transaction-failed/,Checkout,Default,"2026-05-21 00:24:51","2026-05-21 00:24:51",,,,"Child page of: Checkout"
73,page,publish,"villain gets the girl romance books",https://bybookishbabe.com/villain-gets-the-girl-romance-books/,villain-gets-the-girl-romance-books,/villain-gets-the-girl-romance-books/,,Default,"2026-05-19 22:56:24","2026-05-19 22:56:24",,,,"Top-level page"
74,page,publish,"weekly obsession",https://bybookishbabe.com/weekly-obsession/,weekly-obsession,/weekly-obsession/,,Default,"2026-05-19 22:56:24","2026-05-19 22:56:24",,,,"Top-level page"
75,page,publish,"what to read next",https://bybookishbabe.com/what-to-read-next/,what-to-read-next,/what-to-read-next/,,Default,"2026-05-19 22:56:24","2026-05-19 22:56:24",,,,"Top-level page"
